ID,NIT,RAZON SOCIAL,SUPERVISOR,REGIÓN,DEPARTAMENTO_DOMICILIO,CIUDAD_DOMICILIO,MACROSECTOR,INGRESOS_OPERACIONALES_2018,GANANCIA_PERDIDA_2018,TOTAL_ACTIVOS_2018,TOTAL_PASIVOS_2018,TOTAL_PATRIMONIO_2018,INGRESOS_OPERACIONALES_2017,GANANCIA_PERDIDA_2017,TOTAL_ACTIVOS_2017,TOTAL_PASIVOS_2017,TOTAL_PATRIMONIO_2017,GRUPO_EN_NIIF
1,899.999.068,ECOPETROL S.A,SUPERFINANCIERA,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,MINERO-HIDROCARBUROS,62579849000,11556405000,1,14E+11,56548216000,57213607000,49687082000,6620412000,1,08E+11,59650395000,47898631000,NIIF PLENAS-GRUPO 1
2,830.095.213,ORGANIZACIÓN TERPEL S.A.,SUPERFINANCIERA,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,COMERCIO,14879440281,133741350,5488095686,3525498461,1962597225,12493256560,195281207,3863475148,2186212118,1677263030,NIIF PLENAS-GRUPO 1
3,900.112.515,REFINERIA DE CARTAGENA S.A.S.,SUPERSOCIEDADES,Costa Atlántica,BOLIVAR,CARTAGENA-BOLIVAR,MANUFACTURA,12919431000,-802449716,27881794581,9121543502,18760251079,9150339475,48094664,26779627629,8612363110,18167264519,NIIF PLENAS-GRUPO 1
4,890.900.608,ALMACENES EXITO S A,SUPERFINANCIERA,Antioquia,ANTIOQUIA,ENVIGADO-ANTIOQUIA,COMERCIO,11444486000,279403000,15663349000,8013609000,7649740000,11250922000,217713000,15962702000,8123134000,7839568000,NIIF PLENAS-GRUPO 1
5,890.904.996,EMPRESAS PÚBLICAS DE MEDELLÍN ESP,SUPERSERVICIOS,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,SERVICIOS,8966811000,2344822000,45595544000,22990219000,22605325000,7927149000,2188189000,39580960000,18082979000,21497981000,NIIF PLENAS-GRUPO 1
6,890.100.577,AEROVIAS DEL CONTINENTE AMERICANO S.A. - AVIANCA S.A.,SUPERFINANCIERA,Costa Atlántica,ATLANTICO,BARRANQUILLA-ATLANTICO,SERVICIOS,8747168806,268776958,17041050558,15112916822,1928133736,7702201203,49053417,14325211160,12682959730,1642251430,NIIF PLENAS-GRUPO 1
7,800.153.993,COMUNICACIÓN CELULAR S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,SERVICIOS,8665791456,1042348556,14995953079,8965121564,6030831515,8438045879,-1070240411,12849498120,8044303638,4805194482,NIIF PLENAS-GRUPO 1
8,900.156.264,NUEVA EPS S.A.,SUPERSALUD,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,SERVICIOS,7014036645.61,79606005.49,3520168342.59,3258089409.69,262078932.90,5948906066.85,-93419634.60,2810740723.68,2650298149.28,160442574.41,NIIF PYMES-GRUPO 2
9,900.531.210,Cenit Transporte y Logística de Hidrocarburos S.A.S.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,SERVICIOS,6715702915,3575752687,16664862257,1776964635,14887897622,5780339354,2986273830,15514533239,1441865091,14072668148,NIIF PLENAS-GRUPO 1
10,890.107.487,SUPERTIENDAS Y DROGUERIAS OLIMPICA S.A,SUPERSOCIEDADES,Costa Atlántica,ATLANTICO,BARRANQUILLA-ATLANTICO,COMERCIO,6158207111,82594694,3992450101,2646443658,1346006443,5817994063,122963097,3809263758,2416481673,1392782085,NIIF PLENAS-GRUPO 1
11,800.021.308,DRUMMOND LTD,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,MINERO-HIDROCARBUROS,6073369367,290939104,8333006622,2790031022,5542975600,5561593850,68011719,7931239677,2680487953,5250751724,NIIF PLENAS-GRUPO 1
12,860.005.224,Bavaria S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,MANUFACTURA,5947893316,2445403377,9440577820,5849861026,3590716794,5960451573,1843451021,9746982288,3583837302,6163144986,NIIF PLENAS-GRUPO 1
13,860.002.554,PRIMAX COLOMBIA S.A,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,COMERCIO,5906508047,126069745,1384963175,1009942475,375020700,5462496766,26120910,1172264515,919871559,252392956,NIIF PLENAS-GRUPO 1
14,890.900.943,Colombiana de comercio S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,COMERCIO,5773518009,190841884,3166454185,1456830276,1709623909,5177286721,143889015,2950818654,1302889809,1647928845,NIIF PLENAS-GRUPO 1
15,860.069.804,CARBONES DEL CERREJON LIMITED,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,MINERO-HIDROCARBUROS,5225686577,968597017,6957642897,2900075201,4057567696,5033674872,1068701203,6653270260,2927218970,3726051290,NIIF PLENAS-GRUPO 1
16,830.037.248,CODENSA S.A. E.S.P.,SUPERSERVICIOS,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,SERVICIOS,5059808668,608640849,6824665149,4056827795,2767837354,4541571778,623485951,6184185749,3535367044,2648818705,NIIF PLENAS-GRUPO 1
17,900.818.921,KOPPS COMMERCIAL S A S,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,COMERCIO,4680238004,194345714,2808783241,2511406497,297376744,95576064,30386116,122757992,19726962,103031030,NIIF PYMES-GRUPO 2
18,900.585.067,C.I. TRAFIGURA PETROLEUM COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,COMERCIO,4624910164,3827980,467607695,449930622,17677073,2382184106,719330,494773997,482406219,12367778,NIIF PYMES-GRUPO 2
19,901.097.473,MEDIMAS EPS SAS,SUPERSALUD,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,SERVICIOS,4252498787.92,-699359291.31,1875886052.46,2037168794.75,-161282742.29,1738396946.34,38144067.85,2253046485.57,2196231536.55,56814949.02,NIIF PYMES-GRUPO 2
20,800.251.163,OLEODUCTO CENTRAL SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,SERVICIOS,4149457304,1988938305,6550709498,2677087505,3873621993,4062729821,1763668340,5424875246,2044297857,3380577389,NIIF PLENAS-GRUPO 1
21,800.088.702,EPS SURA,SUPERSALUD,Antioquia,ANTIOQUIA,MEDELLIN,SERVICIOS,3939304579.97,59486352.63,931602834.75,671199311.42,260403523.33,3262781735.08,40823915.19,721512723.71,523867610.89,197645112.82,NIIF PLENAS-GRUPO 1
22,900.276.962,KOBA COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,CUNDINAMARCA,TOCANCIPA-CUNDINAMARCA,COMERCIO,3811484857,-25111595,722379883,799380037,-77000154,3124608046,-69265664,648223159,700056139,-51832980,NIIF PLENAS-GRUPO 1
23,900.155.107,Cencosud Colombia S.A,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,COMERCIO,3772463923,-109706088,6256674395,1747187356,4509487039,3839177352,-52822867,6272267825,1653074698,4619193127,NIIF PLENAS-GRUPO 1
24,830.053.800,TELMEX COLOMBIA S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,COMERCIO,3753099408,360902243,5593999692,1227746170,4366253522,3421914122,314450641,4981734070,1155679587,3826054483,NIIF PLENAS-GRUPO 1
25,860.063.875,EMGESA S.A. E.S.P.,SUPERSERVICIOS,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,SERVICIOS,3718448908,1020338048,9249963440,5010715434,4239248006,3425080901,887055685,9028370393,5180084093,3848286300,NIIF PLENAS-GRUPO 1
26,800.242.106,SODIMAC COLOMBIA SA,SUPERFINANCIERA,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,COMERCIO,3622711680,177837043,2493870730,1301606012,1192264718,3457047231,174246833,2283095225,1115436850,1167658375,NIIF PLENAS-GRUPO 1
27,900.268.747,PAREX RESOURCES COLOMBIA LTD. Sucursal,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,MINERO-HIDROCARBUROS,3612873299,1766691281,4235538350,1528181149,2707357201,1591411711,301333300,1834349240,597488013,1236861227,NIIF PLENAS-GRUPO 1
28,860.005.223,CHEVRON PETROLEUM COMPANY,SUPERFINANCIERA,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,COMERCIO,3596391000,144536000,1299100000,1102361000,196739000,3297938000,156011000,1260108000,1107002000,153106000,NIIF PLENAS-GRUPO 1
29,830.126.302,FRONTERA ENERGY COLOMBIA CORP.  SUCURSAL COLOMBIA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,MINERO-HIDROCARBUROS,3489742062,22250091,4570445536,2288225796,2282219740,3481533124,-491684486,4751646259,1901660142,2849986117,NIIF PLENAS-GRUPO 1
30,860.041.312,C.I. PRODECO S.A.,SUPERSOCIEDADES,Costa Atlántica,ATLANTICO,BARRANQUILLA-ATLANTICO,MINERO-HIDROCARBUROS,3434029699,-81603010,4089093226,2624299292,1464793934,3689025228,236154199,3647635183,2203531884,1444103299,NIIF PLENAS-GRUPO 1
